idx,word,occurrences
0,modi,1443
1,bjp,1047
2,india,646
3,amp,603
4,pm,446
5,ha,418
6,not,356
7,terrorist,286
8,attack,278
9,ji,276
10,like,271
11,indian,259
12,wa,246
13,people,242
14,vote,223
15,pakistan,222
16,party,218
17,u,202
18,terror,192
19,election,192
20,win,177
21,want,172
22,govt,164
23,one,159
24,war,158
25,support,157
26,say,153
27,r,148
28,leader,140
29,country,136
30,congress,128
31,please,127
32,hate,125
33,time,119
34,killed,118
35,love,117
36,good,117
37,‘,115
38,terrorism,114
39,dont,112
40,great,111
41,nation,110
42,even,110
43,stop,107
44,fake,105
45,modis,103
46,best,102
47,hindu,101
48,pulwama,99
49,get,99
50,year,96
51,government,96
52,make,95
53,minister,95
54,peace,94
55,help,94
56,narendra,91
57,day,90
58,proud,90
59,many,89
60,chowkidar,87
61,medium,85
62,family,85
63,shame,84
64,supporter,81
65,kashmir,81
66,today,81
67,sir,80
68,ðÿ,80
69,tnwelcomesmodi,79
70,welcome,79
71,dear,79
72,namo,79
73,every,79
74,give,78
75,n,78
76,force,78
77,back,78
78,also,75
79,need,75
80,see,74
81,take,74
82,strike,73
83,life,73
84,let,72
85,security,72
86,muslim,72
87,know,71
88,failed,70
89,prime,70
90,news,70
91,friend,69
92,would,69
93,go,68
94,lie,68
95,hand,67
96,fight,66
97,political,66
98,never,66
99,job,66
100,save,66
101,must,65
102,national,65
103,thank,64
104,work,63
105,via,63
106,strong,63
107,right,62
108,world,60
109,man,60
110,scam,59
111,lost,59
112,accused,59
113,free,59
114,better,58
115,new,58
116,pragya,58
117,hope,58
118,ðÿ˜‚,58
119,opposition,57
120,imran,57
121,army,56
122,made,56
123,power,56
124,pak,55
125,well,55
126,poor,55
127,come,55
128,big,55
129,dead,54
130,seat,54
131,failure,54
132,violence,54
133,anti,53
134,thanks,53
135,defeat,52
136,sure,52
137,hatred,52
138,truth,52
139,issue,51
140,trust,51
141,award,51
142,first,50
143,killing,50
144,woman,49
145,death,48
146,mr,48
147,think,48
148,abhinandan,48
149,state,48
150,true,48
151,candidate,48
152,giving,47
153,shri,47
154,due,47
155,said,46
156,yes,46
157,doe,46
158,may,45
159,ever,45
160,last,45
161,respect,45
162,still,45
163,much,45
164,khan,45
165,act,44
166,soldier,44
167,air,44
168,”,43
169,join,43
170,wrong,43
171,supporting,43
172,look,43
173,’,43
174,video,42
175,gain,42
176,got,42
177,politics,42
178,done,42
179,farmer,42
180,always,42
181,keep,42
182,jawan,41
183,nda,41
184,happy,41
185,cong,41
186,fear,41
187,tweet,41
188,another,41
189,congratulation,41
190,leadership,41
191,enemy,41
192,justice,41
193,jai,41
194,modiâ€™s,40
195,safe,40
196,“,40
197,wish,40
198,way,39
199,watch,39
200,promise,39
201,show,39
202,v,39
203,money,39
204,question,39
205,rafale,38
206,worker,38
207,brave,38
208,god,38
209,two,37
210,given,37
211,cant,37
212,thing,36
213,murder,36
214,court,36
